|NOUN|VERB|ADV|ADJ|CCONJ|EX_M|Q_M|POS|NEG|BOOL_NOUN|BOOL_VERB|BOOL_ADV|BOOL_ADJ|BOOL_CCONJ|LABEL|TEXT|AI
14|14|12|3|4|0|0|0|7|6|1|1|1|1|0|tristesse|Pierre , vraiment difficile écrire mail , choix . réflexions , décidé démissionner . décision brise cœur , sincèrement aimé travailler . derniers temps , choses devenues lourdes porter . sens place , continuer serait mensonge , équipe . pars tristesse , veux saches immense regret . aurais aimé passe autrement . expérience apporté . souhaite meilleur .|1
15|11|8|3|5|0|4|0|5|5|1|1|1|1|0|colère|Pierre , Franchement , furieux ! D' MOIS attends commande , . possible désorganisé ?!! promis livraison rapide , retrouve courir service déjà payé ! 😡 bout patience ! veux réponses suite problème réglé IMMÉDIATEMENT . genre service lamentable prêt oublier . J' attends explications vite !|1
16|7|5|2|5|0|3|0|12|0|1|1|1|1|0|surprise_pos|Pierre , croire reçu matin : retour FANTASTIQUE projet soumis ! attendais niveau reconnaissance . incroyable voir travail acharné vraiment apprécié ! motive continuer donner meilleur . excité heureux partager . devoir fêter bientôt !|1
17|8|8|3|6|0|3|2|3|2|1|1|1|1|0|surprise_neg|Pierre , viens recevoir facture , honnêtement , choc . -il possible sois facturé(e ) services jamais besoin demandé ? ? comprends . totalement injustifié ! attendais , , retrouver somme élevée explication , pur vol ! furieux( ) falloir règle IMMÉDIATEMENT . croire prenne un(e ) idiot(e ) . Explique -moi passe !|1
18|11|5|1|2|0|0|1|3|0|1|1|1|1|0|neutre|Bonjour Pauline , remercie informations location Rouen . correspond parfaitement attentes . Pourriez -vous indiquer prochaines étapes formaliser location ( documents nécessaires , signature bail , etc. ) ? reste disposition remercie disponibilité . Cordialement , Pierre|1
19|10|7|4|4|0|5|1|8|3|1|1|1|1|0|joie|Pierre , Devine ? ! vient recevoir offre incroyable partir vacances , validé ! enfin faire voyage rêvait mois ! excité idée découvrir nouvelle destination . attendais , , réel ! place , falloir prépare rapidement , sais déjà aventure extraordinaire . envie partager joie ! vite ,|1
20|10|9|4|4|0|0|0|9|4|1|1|1|1|0|tristesse|Pierre , vraiment cœur lourd écris . temps , dois malheureusement démissionne . décision déchiré , devenu clair continuer . moments regretter ... 😢 aurais aimé choses soient , dois prendre soin avancer . décision facile , loin .Merci , vraiment . emporte beaux souvenirs , . Prends soin équipe . 🙏|1
21|7|9|3|0|0|3|3|6|3|1|1|1|0|0|colère|Pierre , Sérieusement ? ! as osé ? ! viens apprendre allé raconter mensonges . dépasse ! confiance , remercies ? as dépassé bornes . colère , au-delà , DÉGOÛTÉ . sais . espérais minimum respect , apparemment , demander . reconnais , laisser passer .|1
22|7|6|5|4|0|4|0|4|2|1|1|1|1|0|surprise_pos|Pierre , choc ! Aujourd'hui , promenais , tombé Guillaume années ! inattendu agréable revoir ! avons heures discuter temps jamais écoulé . fou vie réserve parfois belles surprises . espère pourra revoir bientôt , choses raconter ! vite ,|1
23|9|12|3|2|0|3|3|4|5|1|1|1|1|0|surprise_neg|Pierre , viens voir réservations vacances changées CONSENTEMENT . -ce passe ? ! possible ? planifié semaines , découvre part date prévue , hôtel choisi ? ! 😡 choc ! comptais vraiment vacances détendre , , simplement gâché . inacceptable . devoir trouver solution rapidement , , réponds . déçu .|1
24|8|2|0|1|0|0|0|2|2|1|1|0|1|0|neutre|Bonjour Madame , informer serai absent 9 avril raison mariage . assurerai tâches soient ordre départ . hésitez contacter question . Cordialement , Pierre|1
25|10|4|2|5|0|4|0|7|3|1|1|1|1|0|joie|Pierre , heureux place ! 💍🎉 viens faire demande mariage … dit OUI ! moment magique , pouvais rêver mieux . mal réaliser , voulais envoyer mail partager nouvelle incroyable ! nouvelle aventure , petit nuage . 😍 choses célébrer bientôt !|1
26|7|12|1|6|0|0|0|9|4|1|1|1|1|0|tristesse|Pierre , sais vraiment commencer . dévasté séparation . difficile croire fini . 😔 avons partagé moments précieux , sens vide . petit souvenir rappelle avions , peine . sais meilleure décision , rend choses faciles . J' espère trouveras bonheur mérites .|1
27|11|9|2|5|0|3|2|5|5|1|1|1|1|0|colère|Pierre , viens recevoir facture service JAMAIS utilisé . fichez , ? ! pouvez -vous facturer somme pareille demandé ! ? vol pur simple , certainement payer erreur part . exige rectification immédiate , prends mesures légales . dépasse entendement puisse traiter .Je FURIEUX . nécessaire délai !|1
28|8|8|4|3|0|3|0|10|2|1|1|1|1|0|surprise_pos|Pierre , viens obtenir résultats examen , devineras jamais ! réussi note au-dessus attentes ! 😃✨ soulagé heureux , reviens . stress nuits blanches , vraiment voir payé . voulais partager joie , sais point important .On célébrer bientôt !|1
29|8|12|3|3|0|0|0|6|3|1|1|1|1|0|surprise_neg|Pierre , viens apprendre as dit propos , honnêtement , abasourdi . m' attendais part . pensé respectueux disais choses face . ... incompréhensible . sens trahi , franchement , laisse voix . loin attendais amitié . pensais pouvais ... cruel . besoin explications .|1
30|5|2|0|1|0|0|0|0|1|1|1|0|1|0|neutre|Bonjour Adrien , informe serai absente 10 15 novembre , assister formation . absence , Adeline pourra assister besoin . compréhension . Cordialement , Pierre|1
31|10|9|1|3|0|4|0|9|3|1|1|1|1|0|joie|Pierre , viens super nouvelle : reçu remboursement acheté mois ! Franchement , croyais , pensais perdu avance , , BOOM , remboursé ! plaisir surprise positive , attend . envie partager joie , illumine journée ! Bonne journée ! ☀️|1
32|10|9|3|3|0|0|0|5|6|1|1|1|1|0|tristesse|Pierre , C' cœur lourd t' écris message . J' perdu grand-père hier , complètement abattu . C' quelqu'un important vie , soutenir partager histoires . n' arrive imaginer vie . m' appris choses , sens perdu . sûr comprends point mal . J' espère pouvoir trouver traverser épreuve .Merci d' .|1
33|14|5|3|7|0|1|1|4|5|1|1|1|1|0|colère|Pierre , choc expérience viens vivre magasin . -on traiter clients manière DÉSASTREUSE ? ! accueil glacial manque total professionnalisme , simplement inacceptable . sais rester ouvert service pareil . considération , solution , . colère remettrai jamais pieds , croyez -moi , monde autour saura attendre . honteux .|1
34|8|9|1|4|0|3|0|10|0|1|1|1|1|0|surprise_pos|Pierre , petit nuage ! 😍 reçu appel patron matin choisi projet spécial . postulé , vraiment surpris ravi ! opportunité or , sens chanceux sélectionné . voulais partager surprise agréable .On fêtera !|1
35|11|5|2|7|0|1|3|2|10|1|1|1|1|0|surprise_neg|Pierre , viens recevoir note examen , croire vois . -ce possible note basse semaines réviser ? complètement abasourdi . donné , ? résultat décevant ? choc , comprends . injuste inacceptable . erreur , seule explication possible . demander éclaircissements suite , , vraiment colère !|1
36|6|5|0|3|0|0|0|2|1|1|1|0|1|0|neutre|Bonjour Henri , écris informer pourrai présente raison fête famille . excuse gêne occasionnée reste disposition organiser solution alternative nécessaire . Cordialement , Bob|1
37|9|8|4|2|0|1|0|9|2|1|1|1|1|0|joie|Pierre , croire , viens parler Paul enfin réconciliés ! plaisir . temps parler , vraiment perdu espoir . , enfin mis plat , sens choses aller mieux . énorme soulagement , voulais sais tenait cœur . soutien période difficile .|1
38|7|12|2|2|0|0|0|6|5|1|1|1|1|0|tristesse|Pierre , écris cœur lourd . J' appris n' retenu poste convoitais . J' mis d' espoir opportunité , peine d' échoué . pensais vraiment efforts payer . sens découragé perdu . J' espère pourrai trouver relever continuer avancer . difficile moment .Merci m' écouter .|1
39|10|7|1|6|0|3|2|4|5|1|1|1|1|0|colère|Pierre , Franchement , comprends ! retire projet bossé MOIS parler ? ! pris décision ridicule ? inacceptable traiter , respect investi ! ÉNERVÉ , . traitez collaborateurs , faire . exige explications immédiates rectificatif . laisser marcher pieds .Je furieux manque total reconnaissance .|1
40|10|5|2|4|0|4|0|10|1|1|1|1|1|0|surprise_pos|Pierre , croire vient passer bureau ! collègues organisé petit pot célébrer anniversaire , attendais absolument ! commandé gâteau préféré ! vraiment part , fou sentir affection . heureux équipe formidable . devrais faire chose remercier !|1
41|5|10|4|5|0|1|2|2|5|1|1|1|1|0|surprise_neg|Pierre , viens ouvrir colis , CHOQUÉ . possible produit commandé pareil ? ? utilisé déjà cassé ! Franchement , sais … déçu , colère , franchement , comprends pouvez vendre produits . attendais . simplement inacceptable . veux remboursement immédiat . honteux .|1
42|6|3|0|1|0|0|0|3|2|1|1|0|1|0|neutre|Bonjour Nora , souhaitais informer retour absence 10 15 novembre . hésitez transmettre informations importantes aurais pu manquer période . plaisir échanger . Cordialement , Pierre|1
43|5|7|3|4|0|3|0|9|1|1|1|1|1|0|joie|Pierre , arrive croire : gagné concours !!! pensais croyais chances nulles . , surprise totale , reçois mail annoncer remporté prix ! incroyable ! heureux voulais absolument . devoir fêter bientôt ! bientôt ,|1
44|12|7|1|4|0|0|0|6|5|1|1|1|1|0|tristesse|Pierre , voulais parler chose sérieux . J' reçu résultats médicaux m' inquiètent . médecins parlent traitements venir , m' empêcher sentir triste perdu face . C' période vraiment difficile , j' essaie garder espoir , m' empêcher ressentir lourdeur cœur . J' espère pouvoir compter encouragements soutien période .Merci d' .|1
45|12|5|1|2|0|1|2|8|4|1|1|1|1|0|colère|Pierre , sais point comportement matin inacceptable . -ce parler public , considération ? crois vraiment permettre irrespectueux ? !Je FURIEUX ! mérite traité manière , . 😠 idée respect , garder excuses . refuse accepter manque respect . Réfléchis .|1
46|9|6|2|4|0|3|1|4|0|1|1|1|1|0|surprise_pos|Pierre , dois match hier soir au-delà attentes ! équipe gagné , marqué but ! nuage ! inattendu , attendais jouer . ambiance stade électrique , heureux pu vivre . voit prochain match ?|1
47|6|6|5|4|0|2|1|3|11|1|1|1|1|0|surprise_neg|Pierre , viens apprendre accuse chose ! Franchement , sidéré ! -ce mettre voir situation ? choqué injustice . pensais jamais défendre chose ridicule . insultant complètement faux . falloir éclaircir situation rapidement , refuse laisser accuser . vraiment colère déçu .|1
48|11|3|0|2|0|0|0|3|0|1|1|0|1|0|neutre|Bonjour , avons plaisir inviter séminaire intitulé “ symmétrie ” , tiendra 15 avril Nanterre . événement occasion aborder linguistique contrastive intervenants experts domaine . confirmer présence 1 avril . Cordialement , Pierre|1
49|5|8|3|4|0|3|0|12|2|1|1|1|1|0|joie|Pierre , viens recevoir appel , jamais deviner : accepté opportunité incroyable ! surpris , attendais . long processus , honnêtement , perdu espoir . , BOOM , débloque ! heureux(se ) sais . voulais partager incroyable nouvelle . devoir célébrer bientôt !|1
50|9|7|2|3|0|0|0|4|4|1|1|1|1|0|tristesse|Pierre , Aujourd'hui l' pires journées vie . J' échoué examen préparais mois . J' l' impression d' déçu monde , . C' difficile voir efforts mener . vraiment abattu sais relever . espère temps m' aidera guérir trouver nouvelle direction .Merci m' écouter .|1
51|6|11|2|3|0|1|1|3|3|1|1|1|1|0|colère|Pierre , attendais jamais part . considéré ami , , apprends parles ? ! Franchement , déçu , COLÈRE . sais as impardonnable . penses agir conséquences , trompes . passer silence . énervé sais pourra reparler . as brisé chose irréparable .|1
52|9|8|3|3|0|4|0|8|2|1|1|1|1|0|surprise_pos|Pierre , viens recevoir nouvelle incroyable ! lieu réunion prévue demain , avons activité surprise organisée équipe ! croire aient réussi garder secret jusqu’ . vraiment belle briser routine , impatient découvrir préparé . adore surprises ! parle tard !|1
53|9|11|3|0|0|0|1|5|4|1|1|1|0|0|surprise_neg|Pierre , attendais vraiment envoies message . -ce veut ? construit ensemble , jour lendemain , décides fini , ait discussion ?Je choc . pensais relation valait . mal comprendre arrives ... profondément blessé surpris brutalité décision .|1
54|6|2|0|2|0|0|0|1|3|1|1|0|1|0|neutre|Bonjour , rappelons séminaire “ Symétrie ” lieu 15 avril Nanterre , partir 10 . sommes impatients accueillir journée enrichissante . hésitez contacter question . Cordialement , Barbara|1
55|10|2|2|5|0|2|0|7|2|1|1|1|1|0|joie|Pierre , viens recevoir meilleures nouvelles possibles : tata !!! heureuse , incroyable . famille anges , surprise année . Franchement , pouvais garder joie , besoin écrire ! choses célébrer mois venir , déjà impatiente voir passer . courant !|1
56|9|8|2|6|0|0|0|7|7|1|1|1|1|0|tristesse|Pierre , assis , cœur lourd , pensant déménagement approche . signifie revoir formidables , rend triste . beaux moments , laisser vraiment difficile . sens partagé excitation nouveau chapitre douleur quitter amis souvenirs . vraiment sentir perdu .Merci rester contact .|1
57|12|8|2|4|0|4|2|3|3|1|1|1|1|0|colère|Pierre , viens regarder relevé bancaire … RÊVE ? ! pouvez -vous faire erreur pareille compte ? ! avez prélevé montant , autorisé ! simplement vol ! 😤 veux situation réglée immédiatement . avez droit toucher argent . exige remboursement immédiat explication . 24 , prendre mesures légales .Je FURAX .|1
58|9|7|2|6|0|3|0|10|1|1|1|1|1|0|surprise_pos|Pierre , , reçu compliment inattendu supérieur ! dit dernier projet exceptionnel faisais excellent travail . 😁 arrive croire ait remarqué détails ! vraiment motivant plaisir savoir efforts reconnus . mood , voulais partager bonne nouvelle ! vite ,|1
59|7|9|4|4|0|0|1|4|3|1|1|1|1|0|surprise_neg|Pierre , viens apprendre nouvelle politique entreprise , honnêtement , arrive croire . -ce possible impose changements drastiques consulter employés ? totalement pris court . absolument signé rejoignant entreprise . abasourdi décision , vois continuer conditions . dépasse totalement .|1
60|4|5|1|0|0|0|0|4|0|1|1|1|0|0|neutre|Bonjour , Veuillez trouver ci-joint programme détaillé séminaire “ Symétrie ” déroulera 15 avril . remercions vouloir arriver 10h faciliter accueil . espérant voir . Cordialement , Barbara|1
61|10|2|4|5|0|2|0|7|0|1|1|1|1|0|joie|Pierre , heureux annoncer marié week-end ! journée absolument magique , entouré amis famille . cérémonie parfaite , voir Ombrecoeur robe simplement inoubliable . petit nuage hâte partager aventure . célébrer ensemble bientôt ! joie ,|1
62|8|8|3|3|0|0|0|5|4|1|1|1|1|0|tristesse|Pierre , t' écris vraiment triste dispute mère . dégénéré vite , sais réparer choses . C' horrible penser relations fragiles . m' inquiète famille , veux reste travers gorges . veux vraiment arranger choses , sais .Merci m' écouter .|1
63|11|6|6|3|0|3|2|6|5|1|1|1|1|0|colère|Pierre , jamais pagaille organisation . Sérieusement , pouvez autant côté plaque ? ! resté HEURES attendre , finalement apprendre rendez -vous annulé prévienne ? ! IRRESPECTUEUX ! temps précieux , , perdre . prenez clairement responsabilités , vraiment colère . attends explications immédiates excuses .|1
64|7|8|4|3|0|2|1|4|2|1|1|1|1|0|surprise_pos|Pierre , viens recevoir nouvelle laissé voix : hérité petite maison oncle ! idée prévu , vraiment ému . opportunité incroyable , impatient visiter . Peut-être pourrions -nous passer week-end ensemble ? dirai saurai davantage ! Amicalement ,|1
65|7|8|3|1|0|1|1|3|3|1|1|1|1|0|surprise_neg|Pierre , viens recevoir message compagnie aérienne arrive croire : vol Nanterre annulé ! vraiment déçu , voyage . sais faire . Peut-être devrions -nous envisager options ? espère pourra trouver solution rapidement . Tiens-moi courant ,|1
66|5|3|1|1|0|0|0|3|1|1|1|1|1|0|neutre|Bonjour , tenions remercier chaleureusement participation séminaire “ Syntaxe ” . espérons échanges enrichissants . hésitez transmettre retours suggestions . Cordialement , Bob|1
67|6|5|2|4|0|1|0|7|2|1|1|1|1|0|joie|Pierre , contenir joie , promu poste responsable projet ! J' travaillé dur atteindre objectif , enfin arrivé , sens reconnaissant . nouveau défi , prêt motivé . retrouver fêter !À bientôt ,|1
68|8|10|1|4|0|0|0|5|6|1|1|1|1|0|tristesse|Pierre , vraiment triste écrire message . perdu ami dispute stupide . 😞 croire termine . avons partagé souvenirs rires , semble lointain . sais pourrai surmonter perte . ressens vide immense , demande pourrons jour retrouver avions .Merci m' écouter .|1
69|9|10|1|1|0|0|1|2|8|1|1|1|1|0|colère|Pierre , trouve mots exprimer point colère . viens découvrir as caché , RAVAGÉ intérieur . as -tu pu trahir ? !Je confiance , as piétiné . sais regarder miroir . veux jamais parler as . douleur insupportable , colère , colère reviens .Tu as détruit .|1
70|9|5|2|2|0|3|0|3|0|1|1|1|1|0|surprise_pos|Pierre , décrire point heureux moment ! reçu offre emploi poste convoite mois SFR . attendais , dernier entretien . espère marquera tournant carrière ! fêter bientôt ! bientôt ,|1
71|4|7|3|0|0|0|0|2|5|1|1|1|0|0|surprise_neg|Pierre , sais , licencié . choc . jamais venir sens complètement perdu . sais faire , incertitude vraiment peur . J' espère pourras donner conseils .Merci ,|1
72|4|2|0|2|0|0|0|2|0|1|1|0|1|0|neutre|Bonjour Jerémie , souhaiterais convenir rendez -vous discuter avancement . disponible dates suivantes : 10 15 avril . faire savoir convient . Cordialement , Bob|1
73|13|3|3|5|0|3|0|8|2|1|1|1|1|0|joie|Pierre , écris euphorie ! équipe remporté championnat hier soir ! ⚽️ match époustouflant , avons marqué but gagnant dernières minutes . ambiance stade incroyable , choc .Je fier équipe parcours . célébrer ensemble , victoire partager ! bientôt ,|1
74|14|8|1|4|0|0|0|5|6|1|1|1|1|0|tristesse|Pierre , écris cœur lourd . chien , Max , décédé hier soir , dévasté . compagnon fidèle d' années , maison semble vide . coin rappelle sourire joie vivre . sais faire face perte . chagrin profond , espère temps pourra apaiser douleur . .|1
75|10|4|5|3|0|2|0|1|5|1|1|1|1|0|colère|Pierre , t' écris faire part colère visite restaurant hier soir . service horriblement lent , , commande complètement erronée ! 45 minutes , reçu plat voir commandé . inacceptable ! remettrai pieds là-bas .À bientôt ,|1
76|10|5|2|3|0|0|0|5|1|1|1|1|1|0|surprise_pos|Pierre , viens recevoir message Hugues années contact . 😮 proposé retrouver autour café discuter vies respectives . vraiment surpris enthousiaste idée revoir ami longue date . pourrait occasion rattraper temps perdu !Hâte raconter ,|1
77|6|9|1|2|0|0|0|5|2|1|1|1|1|0|surprise_neg|Pierre , voulais partager chose décevant . reçu résultats d' examen , attendais : échoué . 😢 travaillé dur , voir résultat brise cœur . vraiment surpris sais faire face . dois réfléchir faire .Merci écouter ,|1
78|6|1|0|1|0|0|1|0|0|1|1|0|1|0|neutre|Bonjour Bob , suite précédent message rendez-vous . Auriez -vous disponibilité échanger projet ? retour . Cordialement , Pierre|1
79|8|7|2|2|0|2|0|7|1|1|1|1|1|0|joie|Pierre , croire m' arrivé ! J' reçu colis surprise Fab cadeau voulais longtemps ! idée pensait , vraiment touché . petit moment bonheur illumine journée . impatient .Prends soin ,|1
80|8|11|0|3|0|0|0|6|1|1|1|0|1|0|tristesse|Pierre , triste moment . viens apprendre opportunité réaliser rêve voyager l' étranger possible . fend cœur penser j' planifié espéré s' envolé . sens découragé , sais aller . J' espère vie réservera d' belles surprises , instant , pèse .Merci écouter .|1
81|10|3|2|2|0|0|0|4|7|1|1|1|1|0|colère|Pierre , dois parler colère vis-à-vis Pierre . oublié faire part travail projet , sommes situation délicate . manque sérieux vraiment épuisant . espère prendre responsabilités sérieux , devoir parler supérieur .Cordialement ,|1
82|10|6|4|4|0|3|0|11|0|1|1|1|1|0|surprise_pos|Pierre , devineras jamais m' arrivé ! Hier soir , amis organisé fête surprise anniversaire ! venir vraiment ému voir réunis . soirée mémorable , pleine rires joie . reconnaissant amis formidables . retrouver bientôt raconte ! joie ,|1
83|5|6|3|2|0|0|0|3|6|1|1|1|1|0|surprise_neg|Pierre , cœur lourd écris . Yoann quitté hier soir avertissement , complètement désemparé . attendais vraiment . comprends mal . espérais pourrions surmonter problèmes ensemble.Merci écouter ,|1
84|3|2|0|0|0|0|0|0|0|1|1|0|0|0|neutre|Bonjour , confirme rendez -vous prévu 10 avril 16 , Nanterre . disponibilité . Cordialement , Pierre|1
85|11|1|2|4|0|1|0|5|2|1|1|1|1|0|joie|Pierre , retour voyage incroyable France , empêcher partager joie ! jour nouvelle aventure , paysages époustouflants nourriture délicieuse . pris photos hâte raconter péripéties . retrouver café bientôt !À vite ,|1
86|12|9|2|3|0|0|0|5|3|1|1|1|1|0|tristesse|Pierre , immense tristesse t' écris mail . J' dû adieu chien , Po , hier soir . 😢 compagnon fidèle d' années , maison semble vide .Chaque coin rappelle moments avons partagés . J' espère temps m' aidera guérir , instant , sens vraiment perdu . penser ,|1
87|7|2|1|5|0|1|0|1|9|1|1|1|1|0|colère|Pierre , furieux expérience . vol retardé heures explication valable ! employés impolis semblaient soucier frustration . vraiment décevant envie voler nouveau .Merci m' écouter ,|1
88|8|7|2|4|0|2|0|8|1|1|1|1|1|0|surprise_pos|Pierre , croire m' arrivé ! reçu compliment inattendu patron travail dernier projet . mentionné approche innovante ! vraiment surpris redonné confiance capacités . espère traduira nouvelles opportunités !À bientôt ,|1
89|7|6|2|3|0|0|1|2|4|1|1|1|1|0|surprise_neg|Pierre , croire point insupportable nuit . voisin décidé d' organiser fête bruyante jusqu' aube . colère fatigué aujourd'hui . inadmissible , semaine . envisage parler , crains dégénère . Qu' penses -tu ? bientôt ,|1
90|5|2|2|1|0|0|1|1|1|1|1|1|1|0|neutre|Bonjour Patrick , raison Aïd , pourrai malheureusement assurer rendez -vous initialement prévu 15 novembre . Serait -il possible reprogrammer date ? compréhension . Cordialement , Robert|1
91|11|5|0|4|0|2|0|11|3|1|1|0|1|0|joie|Pierre , voulais faire part nouvelle rempli joie : terminé marathon ! difficile , étape valu peine . ligne arrivée moment pur bonheur . fier sens prêt relever défis . voir célébrer ! Amicalement ,|1
92|10|10|3|2|0|0|0|5|5|1|1|1|1|0|tristesse|Pierre , voulais parler déception réunion d' hier . J' présenté projet tenait cœur , j' reçu retours critiques . C' vraiment décourageant voir travail ignoré . sens mal l' aise sais avancer . J' espère remettra question position .Prends soin ,|1
93|12|6|4|4|0|1|0|3|6|1|1|1|1|0|colère|Pierre , viens terminer match foot outré ! équipe joué manière désastreuse . 😤 chances gagner , cause arbitre , pris décisions complètement absurdes , avons perdu .Franchement , frustrant voir autant travail acharné réduit néant erreurs arbitrage . revoir discuter !À bientôt ,|1
94|8|4|2|2|0|2|0|9|0|1|1|1|1|0|surprise_pos|Pierre , , belle surprise ! Fred offert cadeau raison : magnifique livre ca . vraiment touché attention . attendais vraiment égayé journée . hâte plonger lecture ! écouter ,|1
95|8|8|2|2|0|1|0|7|4|1|1|1|1|0|surprise_neg|Pierre , voulais partager frustration contacté service client SFR . mis attente heure , enfin pris appel , pu aider ! vraiment inacceptable . espérais meilleur service , , déçu . sais résoudre problème .Merci écouter ,|1
96|3|3|1|1|0|0|0|1|1|1|1|1|1|0|neutre|Bonjour Juliette , Veuillez trouver ci-joint convention stage signée Kehina . hésitez revenir documents nécessaires . Cordialement , Paul|1
97|8|5|1|5|0|1|0|6|1|1|1|1|1|0|joie|Pierre , ravi annoncer devenu papa ! fille né(e ) matin , pourrais heureux . moment incroyable change vie meilleur . impatient présenter petite merveille . vie belle !À bientôt ,|1
98|7|10|3|3|0|0|0|3|6|1|1|1|1|0|tristesse|Pierre , écris cœur lourd . mère reçu diagnostic inquiétant , attriste profondément . arrive penser chose , angoisse idée pourrait arriver . sais devrais rester fort , difficile cacher émotions . apprécierais vraiment parler as moment .Merci écouter ,|1
99|5|5|2|1|0|0|0|3|2|1|1|1|1|0|colère|Pierre , bruits incessants voisin . fête presque nuits , épuisé . essayé parler calmement , semble comprendre dérange . devoir prendre mesures continue .Merci écouter ,|1
100|4|6|2|3|0|3|0|5|2|1|1|1|1|0|surprise_pos|Pierre , croire , Pol retour ville années ! l appelé veut retrouve . surpris heureux ! longtemps sommes vus , impatient rattraper temps perdu . retrouver , génial ! vite ,|1
